#separator:tab
#html:true
Front	Back	Tags
Difference between `display: none` and `visibility: hidden` in the pipeline?	`display: none` removes the node from the render tree, so it costs no layout or paint and occupies no space. `visibility: hidden` keeps it in the render tree -- it is laid out and takes up space, it is just not painted.	frontend browser-rendering rendering main-thread reflow compositing
Why is 50 ms the long-task threshold?	The RAIL model puts 100 ms as the ceiling for an interaction to feel instantaneous. A task must stay under 50 ms so that even if input arrives just as it starts, the browser has ~50 ms left to dispatch and respond within budget.	frontend browser-rendering rendering main-thread reflow compositing
What does `{ passive: true }` actually promise?	That your handler will not call `preventDefault()`. Without it the browser must run your `touchstart`/`wheel` handler before it knows whether to scroll, putting your JavaScript on the scroll critical path. With it, scrolling proceeds on the compositor immediately.	frontend browser-rendering rendering main-thread reflow compositing
What does `content-visibility: auto` do and what does it break?	Skips style, layout and paint for off-screen elements until they approach the viewport. It breaks intrinsic sizing -- the element reports zero height -- so scroll height jumps and anchor links misfire unless you supply `contain-intrinsic-size`.	frontend browser-rendering rendering main-thread reflow compositing
Why is `will-change: transform` in a stylesheet usually a mistake?	It permanently promotes every matching element to its own compositor layer, and each layer costs GPU memory proportional to its pixel area. On a list of hundreds of items this causes worse jank than it prevents. Set it in JS immediately before the animation and clear it on completion.	frontend browser-rendering rendering main-thread reflow compositing
Why does `setTimeout(fn, 0)` yield worse than `scheduler.yield()`?	`setTimeout` queues a new macrotask behind everything already pending, so your continuation can be starved. `scheduler.yield()` returns a prioritised continuation that resumes ahead of other pending tasks, giving you responsiveness without losing throughput.	frontend browser-rendering rendering main-thread reflow compositing
What can a Web Worker not do, and what is the cost of using one?	No DOM access and no layout APIs -- it is for pure computation. The cost is structured-clone serialisation on `postMessage`, which is significant for large objects; transferable `ArrayBuffer`s avoid the copy where the data format allows.	frontend browser-rendering rendering main-thread reflow compositing
Safe vs idempotent -- what is the difference?	Safe means read-only, no intended state change (`GET`, `HEAD`, `OPTIONS`). Idempotent means N identical requests leave the same state as one. `DELETE` and `PUT` are idempotent but not safe. `POST` is neither; `PATCH` is not guaranteed idempotent.	frontend http-and-networking HTTP QUIC idempotency retries
Why is `PATCH` not idempotent?	A patch body can express a relative change -- increment a counter, append to a list -- and applying it twice compounds. An absolute-value patch happens to be idempotent, but the method makes no such promise, so no proxy or gateway may retry it.	frontend http-and-networking HTTP QUIC idempotency retries
How does an idempotency key work, including the edge cases?	Client sends a unique key per logical operation. Server claims the key *before* doing work; a repeat of a completed key replays the stored response, a repeat while in flight returns `409`, and the same key with a different body returns `422` because that is a client bug, not a retry.	frontend http-and-networking HTTP QUIC idempotency retries
Does HTTP/2 solve head-of-line blocking?	Only at the application layer. TCP still delivers one ordered byte stream, so one lost packet stalls every multiplexed stream on that connection. Above roughly 2% loss a single HTTP/2 connection can be worse than six HTTP/1.1 ones. HTTP/3 over QUIC fixes it with per-stream loss recovery.	frontend http-and-networking HTTP QUIC idempotency retries
What is connection coalescing?	If two hostnames resolve to the same IP and are covered by the same certificate, an HTTP/2 browser reuses one connection for both. It is why domain sharding became an anti-pattern -- extra hostnames now cost handshakes and cold congestion windows instead of buying parallelism.	frontend http-and-networking HTTP QUIC idempotency retries
What makes a CORS request "simple", and why does it rarely matter?	`GET`/`HEAD`/`POST`, no custom headers, and `Content-Type` limited to form-urlencoded, multipart, or text/plain. `application/json` is excluded, so nearly every modern API call triggers an `OPTIONS` preflight -- a full extra round trip unless `Access-Control-Max-Age` is set.	frontend http-and-networking HTTP QUIC idempotency retries
Why does `Vary: Origin` matter on CORS responses?	Without it a shared cache stores one origin's `Access-Control-Allow-Origin` value and serves it to requests from other origins, so the API appears to fail intermittently for some tenants. Combined with credentialed requests -- which forbid `*` -- it is a correctness requirement, not a tuning knob.	frontend http-and-networking HTTP QUIC idempotency retries
`412` vs `428` -- when do you use each?	`412 Precondition Failed` answers a conditional write whose `If-Match` ETag no longer matches, preventing a lost update. `428 Precondition Required` rejects a write that arrived with *no* precondition at all, which is how you make blind overwrites impossible by policy.	frontend http-and-networking HTTP QUIC idempotency retries
Why did server push lose to `103 Early Hints`?	The server cannot see the client cache, so push wasted bandwidth on assets the browser already had and competed with the critical path. Early Hints sends `Link: rel=preload` during server think time and lets the browser, which knows its own cache, decide whether to fetch.	frontend http-and-networking HTTP QUIC idempotency retries
Difference between `max-age` and `s-maxage`?	`max-age` governs private caches (the browser). `s-maxage` governs shared caches (the CDN) and overrides `max-age` for them. Splitting them lets you cache HTML at the edge for speed while keeping browser TTL at zero for control.	frontend cdn-and-edge CDN caching edge security
What does `stale-while-revalidate` buy you?	The user gets an instant response from the stale copy while the edge refreshes in the background. TTL expiry stops being a latency spike paid for by a real user.	frontend cdn-and-edge CDN caching edge security
What is an origin shield?	A designated mid-tier cache that all edge PoPs fetch through. Without it, a miss can mean hundreds of PoPs hitting origin for the same object at once.	frontend cdn-and-edge CDN caching edge security
Why is `Vary: User-Agent` an anti-pattern?	There are effectively unbounded UA strings, so each one becomes its own cache key. Your hit rate approaches zero and the origin sees near-full traffic.	frontend cdn-and-edge CDN caching edge security
Why should you never delete old hashed chunks on deploy?	During a rollout users hold cached HTML referencing the previous build. Deleting those chunks gives them a white screen. Keep N-1 and N-2 live.	frontend cdn-and-edge CDN caching edge security
Preferred order of cache invalidation strategies?	1) Change the URL (content hashing) — instant and free. 2) Short `s-maxage` plus revalidation. 3) Explicit purge, which is rate-limited and eventually consistent, so never your rollback plan.	frontend cdn-and-edge CDN caching edge security
Which cache layer can you never invalidate?	The HTTP browser cache. Once a response is stored with a `max-age`, it lives on the user's disk for that duration and no purge, deploy or API reaches it. The only recovery is serving from a different URL -- which is why content-hashed filenames exist.	frontend caching-layers caching invalidation stampede
What is a cache stampede and what are the three defences?	When a hot key expires, every concurrent request misses at once and all hit the origin for the same value. Defences: request collapsing (single-flight lock so one recomputes), TTL jitter so keys do not expire together, and early probabilistic recompute or serve-stale-while-revalidating so nobody meets a cold key.	frontend caching-layers caching invalidation stampede
Why does adding Redis shards not fix a hot key?	Cluster mode maps a key to a slot by hashing the key, so one key always lives on one node regardless of cluster size. You must either spread the value across N suffixed keys or prevent the reads reaching Redis at all with a very short in-process cache.	frontend caching-layers caching invalidation stampede
Cache-aside vs write-back -- what is the real difference?	Cache-aside populates on miss and writes go to the database, so a cache failure means slow, not lost. Write-back acknowledges the write from the cache and flushes asynchronously, so writes are fast but unflushed data is permanently lost if the cache dies. Acceptable for counters and metrics, never for orders.	frontend caching-layers caching invalidation stampede
Why delete a cache key on write rather than update it?	Updating races with an in-flight read that already holds the old row: the slow reader writes its stale value after your update, with a fresh TTL, leaving a silent inconsistency that never resolves. Deleting shrinks the window to the gap before the next read, which repopulates from current state.	frontend caching-layers caching invalidation stampede
What does a version prefix in a cache key buy you?	`product:v3:42` means a schema change is deployed by bumping the prefix. Every old-shape entry is abandoned atomically with no purge and no window where clients receive two different shapes; the orphans simply expire.	frontend caching-layers caching invalidation stampede
What is negative caching and why is the TTL shorter?	Storing a "not found" sentinel so repeated lookups of a non-existent ID do not pass through to the database -- the defence against enumeration and broken retry loops. The TTL is shorter (say 30 s vs 300 s) because not-found becoming found is a far likelier transition than the reverse.	frontend caching-layers caching invalidation stampede
How do you calculate the staleness a user can actually observe?	Roughly the sum of the TTLs along the path, not the minimum -- each layer can be populated from an already-stale layer beneath it. Allocate freshness as a budget across layers, and make TTLs shorten as you move outward toward the user.	frontend caching-layers caching invalidation stampede
Why is a very high hit rate a risk as well as a win?	It hides how the origin behaves under real load. A 96% hit rate means the database has never seen 25x its current read volume, so a cache outage or cold start is an untested capacity event. Find out deliberately with a cold-start game day rather than during an incident.	frontend caching-layers caching invalidation stampede
Why can SSR make INP worse than CSR?	SSR paints a complete-looking page before the bundle has hydrated, so for hundreds of milliseconds it looks interactive and queues input instead of responding. CSR shows a skeleton that honestly signals "not ready". LCP improves while TBT and INP regress, which is invisible if you only track LCP.	frontend rendering-strategies SSR SSG streaming hydration
Roughly what does JavaScript cost to parse and compile on a mid-tier phone?	About 1 ms per KB before any of your code executes, plus execution and reconciliation on top. A 500 KB bundle is therefore ~500 ms of parse/compile alone, and a mid-tier Android is 4-6x slower than a developer laptop on single-threaded JS.	frontend rendering-strategies SSR SSG streaming hydration
Lazy hydration vs partial hydration -- what is the difference?	Lazy (progressive) hydration defers when the work happens; the same JavaScript is still shipped and eventually executed. Partial hydration (islands, RSC server components) means some components never ship JavaScript at all. Only the second one reduces the total bill.	frontend rendering-strategies SSR SSG streaming hydration
What does streaming SSR decouple TTFB from?	Your slowest data dependency. The shell flushes in tens of milliseconds so the browser can start fetching CSS and fonts, and each `Suspense` boundary streams in as its query resolves, rather than the whole document waiting on the slowest query.	frontend rendering-strategies SSR SSG streaming hydration
What is locked once the first chunk of a streamed response flushes?	The status code and all response headers. Auth checks, 404 decisions, redirects and `Set-Cookie` must be resolved before the shell goes out; anything failing after the flush must render an error inside its boundary instead of returning a 500.	frontend rendering-strategies SSR SSG streaming hydration
Why is streamed content an SEO risk despite Googlebot rendering JavaScript?	Googlebot generally handles it, but social-preview scrapers (Slack, LinkedIn, Twitter) and many non-Google crawlers take only the initial HTML. Title, meta description, Open Graph tags, canonical URL, JSON-LD and primary copy must therefore live in the shell.	frontend rendering-strategies SSR SSG streaming hydration
How do you estimate SSR capacity?	`renderToString` blocks the Node event loop, so throughput is roughly cores divided by render time. At 60 ms per render a core sustains ~16 renders/second, meaning 5,000 rps needs on the order of 300 cores before headroom, GC pauses and p99 render time.	frontend rendering-strategies SSR SSG streaming hydration
What causes a hydration mismatch and what does it cost?	Any non-deterministic render -- `Date.now()`, `Math.random()`, locale or timezone formatting, `typeof window` branches. React discards the server HTML and re-renders on the client, so you paid the SSR compute and delivered a CSR experience, often with a visible flash.	frontend rendering-strategies SSR SSG streaming hydration
What is the right strategy for a page that is 98% shareable and 2% personalised?	Split the response. Cache the shareable majority aggressively (SSG/ISR with `s-maxage`), and fetch or edge-inject the personalised fragment separately, so one cache policy does not have to serve both. Making the whole page per-request sacrifices cacheability for 2% of the pixels.	frontend rendering-strategies SSR SSG streaming hydration
What problem does a BFF actually solve?	An ownership problem. Screens need data joined across domain services, and a BFF lets the client team do that joining in a service it owns -- on 0.5 ms internal links rather than 200 ms client ones -- without negotiating a backend roadmap slot or reshaping a domain API for one view.	frontend api-and-bff REST GraphQL BFF contracts
What must never live in a BFF?	Business rules, its own primary database, cross-client shared logic, long-running work, and any server-side consumers. The test: if two clients could disagree about the answer, it is domain logic and belongs one layer down.	frontend api-and-bff REST GraphQL BFF contracts
What is the GraphQL N+1 problem and its fix?	A nested field resolver runs once per parent item, so 50 posts requesting an author means 51 queries. DataLoader batches all loads made within one event-loop tick into a single `WHERE id IN (...)` and caches per request. Without it a GraphQL API will saturate its database well below expected traffic.	frontend api-and-bff REST GraphQL BFF contracts
Why does GraphQL break HTTP caching?	Every query is a `POST` to a single `/graphql` URL, and every HTTP cache keys on URL plus method. Browser cache, service worker, CDN and reverse proxies all stop working at once. Persisted queries sent as `GET /graphql?id=<hash>` restore a cacheable URL.	frontend api-and-bff REST GraphQL BFF contracts
What do persisted queries give you beyond caching?	A closed allowlist. Clients register queries at build time and send only a hash, so an attacker cannot author a query at all -- which addresses the complexity-based denial of service more completely than depth or cost limits alone.	frontend api-and-bff REST GraphQL BFF contracts
Offset vs cursor pagination -- the two real problems with offset?	Correctness and cost. Concurrent inserts or deletes shift items across page boundaries, so users see duplicates or miss rows. And `OFFSET 100000` makes the database scan and discard 100,000 rows, so deep pages degrade linearly. Keyset cursors on `(sort_key, id)` are stable and O(limit) at any depth.	frontend api-and-bff REST GraphQL BFF contracts
What three fields make an error contract operationally useful?	A stable machine-readable `code` (clients must never branch on message text), an explicit `retryable` flag so the client does not infer it from a status code, and a `traceId` that appears in your logs so a support ticket becomes a query rather than an investigation.	frontend api-and-bff REST GraphQL BFF contracts
What does consumer-driven contract testing add over an OpenAPI schema?	It tests the fields consumers actually *use*, not the fields you *declare*. Each consumer publishes its expectations and the provider CI verifies all of them before deploy, so "does this change break anyone" becomes a build result instead of a changelog nobody read.	frontend api-and-bff REST GraphQL BFF contracts
When is tRPC the wrong choice?	As soon as you have a consumer you cannot deploy in lockstep with, or one that is not TypeScript. There is no language-agnostic schema artefact and no versioning story by design, so a Swift client, a Kotlin client or a partner integration needs OpenAPI, GraphQL SDL or protobuf instead.	frontend api-and-bff REST GraphQL BFF contracts
What is the one test that separates server state from client state?	"Can another tab, another user, or another device change this value?" If yes, you hold a copy of someone else's truth -- that is a cache, and it needs a staleness policy, refetch triggers and invalidation on mutation, not a slot in a global store.	frontend state-management state react-query URL-state cache
Why did server-state libraries replace most of Redux?	Because most of what teams put in a global store was a local copy of server data -- a cache. Redux gave no staleness, invalidation or request lifecycle, so every endpoint grew hand-written loading and error flags. React Query and friends are caches with an invalidation model, and adopting one typically empties 70-80% of a legacy store.	frontend state-management state react-query URL-state cache
`staleTime` vs `gcTime` -- what is the difference?	`staleTime` is how long a value is considered fresh, during which a new mount serves from cache with no request. `gcTime` is how long an *unused* value is retained before eviction, which is what makes back navigation instant. Conflating them is the most common misconfiguration.	frontend state-management state react-query URL-state cache
What are the three parts of a correct optimistic update?	Snapshot the previous value in `onMutate` (and cancel in-flight refetches), restore that exact snapshot in `onError`, and invalidate in `onSettled` so the server reconciles regardless of outcome. Plus a user-visible message on rollback -- a silent revert is indistinguishable from success.	frontend state-management state react-query URL-state cache
When should state live in the URL?	When a user could reasonably expect a copied link to reproduce the view: filters, search text, sort, page, active tab, open detail panel. You get sharing, refresh survival, and back/forward undo for free. The costs are validating user-editable input and using `replaceState` for high-frequency changes.	frontend state-management state react-query URL-state cache
Why is storing derived state a bug factory?	It creates two facts that can disagree with nothing enforcing that they agree, so any code path that forgets to recompute produces a silently wrong UI. Compute at render; `useMemo` caches the computation without creating a second source of truth.	frontend state-management state react-query URL-state cache
What problem does normalisation solve, and when is it not worth it?	The same entity appearing in a list, a detail and a search response means three copies that drift, so editing one leaves the others stale. Normalising stores entities once by ID with references elsewhere. Not worth it for dashboards of independent read-only widgets -- real complexity for a consistency problem you do not have.	frontend state-management state react-query URL-state cache
Why do global stores rot?	Adding a key costs nothing and any component can read or write any value, so the store only grows and eventually nobody can answer "who writes this" or "what breaks if I delete it". Counter with small domain-scoped stores, server data kept out, and exposed actions instead of raw setters.	frontend state-management state react-query URL-state cache
What goes wrong when a form is initialised from server data?	The form forks the data, so a refetch on window refocus can overwrite in-progress edits and the user's typing silently reverts. Disable refocus refetching while dirty, and send `If-Match` with the loaded ETag on submit so a concurrent change returns `412` rather than a silent last-write-wins overwrite.	frontend state-management state react-query URL-state cache
Is a re-render the same as a DOM update?	No. The render phase calls your components and diffs the result; if the output is unchanged, the commit phase does nothing. Rendering 200 components that produce identical trees costs the function calls and the diff -- often under a millisecond -- and zero DOM work. Target expensive renders, not all renders.	frontend react-at-scale React performance architecture
What happens when the element type at a position changes?	React unmounts the entire subtree and remounts it, destroying all state within it. This is why conditionally swapping a wrapper component around the same children clears form inputs, focus and scroll position.	frontend react-at-scale React performance architecture
Why does `React.memo` fail to stop rerenders from context?	Because `useContext` subscribes the component directly to the provider rather than receiving a prop, so the memo comparison is not on that path. React also compares the whole context value by reference and has no field-level granularity.	frontend react-at-scale React performance architecture
When is `useCallback` load-bearing, and when is `React.memo` worse than nothing?	`useCallback` earns its cost when the function goes to a `React.memo` child (otherwise the memo can never hit) or into another hook's dependency array (otherwise the effect re-runs every render, a correctness issue). `React.memo` is actively harmful with an inline object or array prop: the shallow comparison runs every parent render and always fails, so you pay it and re-render anyway while believing the component is memoised.	frontend react-at-scale React performance architecture
What does `useTransition` actually change?	It marks an update non-urgent so React keeps urgent input responsive and can interrupt and restart the expensive render. It makes rendering interruptible, not faster or parallel -- and it cannot interrupt inside a single component's render, so one large synchronous computation is unaffected.	frontend react-at-scale React performance architecture
What are the real costs of virtualisation?	In-page search cannot find unrendered rows; accessibility needs correct `aria-rowcount`/`aria-rowindex` since the DOM no longer reflects the list; variable-height rows need a measurement cache, which is where most bugs live; and `scrollIntoView` to an arbitrary row needs explicit support.	frontend react-at-scale React performance architecture
Why do index keys cause bugs rather than just slowness?	React matches siblings by key, so with index keys the instance and its local state stay with the *position* while the props describe a different item. A checked checkbox, an input value or focus follows position through a sort -- a silent correctness bug with no warning.	frontend react-at-scale React performance architecture
What is the test for whether a component belongs in the shared design system?	Used by three or more domains *and* its API has stopped changing. Promoting a still-evolving component makes every future change a coordinated migration across the whole application.	frontend react-at-scale React performance architecture
Why do barrel files undermine code splitting?	`export * from ...` pulls the whole module graph into anything that imports one symbol, so a heavy dependency lands in every chunk and route splitting delivers little. Whether tree-shaking rescues you depends on side-effect analysis you are not checking -- so use deep imports and verify against the actual bundle report.	frontend react-at-scale React performance architecture
What do microfrontends actually buy you?	Independent deployment. A team ships without waiting on another team's build, tests or release train. Not performance, not smaller bundles, not simplicity -- those are costs you pay for the autonomy.	frontend microfrontends MFE org-design contracts
Why does duplicate React break context silently?	A context is an object identity created by one React instance. A provider from copy A and a consumer from copy B never match, so the consumer gets the `createContext` default value with no error thrown.	frontend microfrontends MFE org-design contracts
Which packages must be singletons in a shared scope?	Anything holding module-level mutable state or relying on identity: `react`, `react-dom`, the router, the styling runtime, and the query client. Pure leaf utilities can duplicate cheaply.	frontend microfrontends MFE org-design contracts
Best-to-worst cross-microfrontend communication?	URL/query state, then the server plus cache invalidation, then a shell-provided service, then namespaced custom DOM events. Direct imports between features are effectively never right.	frontend microfrontends MFE org-design contracts
How do you stop design-token drift across remotes?	Ship tokens as CSS custom properties from the shell so components read `var(--ds-space-3)` instead of importing a number. Token changes then propagate on shell deploy regardless of bundled component versions.	frontend microfrontends MFE org-design contracts
What is the honest default instead of microfrontends?	A modular monolith: one deployable, enforced module boundaries, code owners per directory, affected-only CI. You get ownership clarity while keeping a compile-time contract.	frontend microfrontends MFE org-design contracts
What conditions justify a real runtime split?	Roughly eight or more teams shipping to one URL, a heterogeneous stack being strangled incrementally, or a compliance/trust boundary that forbids sharing a runtime.	frontend microfrontends MFE org-design contracts
Why are iframes sometimes the right microfrontend?	They are the only option with a separate JS realm and origin, so a crash or a hostile script is contained. When you host untrusted or third-party code, that isolation beats bundle efficiency.	frontend microfrontends MFE org-design contracts
What does `remoteEntry.js` contain?	A small manifest-plus-loader: what the remote exposes, what it can contribute to the shared scope, and an `init` function the host calls with the scope. It is the deploy pointer, so it must be short-TTL and revalidated, never immutable.	frontend module-federation Module-Federation webpack versioning
How does shared-scope version resolution choose a copy?	Among all registered candidates satisfying the requesting side's `requiredVersion` range, the highest semver version wins, and an already-instantiated copy is reused. The host has no inherent priority.	frontend module-federation Module-Federation webpack versioning
Difference between `singleton` and `strictVersion`?	`singleton: true` guarantees one instance in the realm and only warns on a version mismatch. `strictVersion: true` makes an unsatisfiable range throw at resolution time instead of silently falling back.	frontend module-federation Module-Federation webpack versioning
Why does `eager: true` exist, and what does it cost?	It inlines a shared copy into the initial chunk so synchronous entry code can use it, avoiding the "not available for eager consumption" error. The cost is losing that package's negotiability -- prefer an async `bootstrap` import instead.	frontend module-federation Module-Federation webpack versioning
Why must remote URLs come from a runtime manifest?	Hardcoded URLs in webpack config mean rolling back a remote requires rebuilding and redeploying the host, destroying deploy independence. A short-TTL manifest makes rollback an atomic pointer flip.	frontend module-federation Module-Federation webpack versioning
What does a React error boundary fail to catch here?	Failed `remoteEntry.js` requests, chunk-load errors, rejected dynamic imports, and errors thrown while a module body evaluates. You need a `try/catch` with a timeout around the import as well as the boundary.	frontend module-federation Module-Federation webpack versioning
What is the N-1/N/N+1 problem?	Production runs a combination of independently deployed versions, including browsers holding old shell HTML. The tested set is a list; the live set is a product. Survive it with additive-only contract changes, retained old chunks, and a mount-time contract check.	frontend module-federation Module-Federation webpack versioning
How do Import Maps dedupe dependencies?	By URL identity -- every module importing the bare specifier `react` resolves to the same URL, so the browser evaluates it once. Simple and standards-based, but there is one entry per specifier per document, so no semver negotiation.	frontend module-federation Module-Federation webpack versioning
Why is `publicPath: "auto"` required in a remote?	Without it, the remote's lazy chunk URLs resolve against the host's origin and path and 404. `auto` derives the base URL from the location of the running `remoteEntry.js`.	frontend module-federation Module-Federation webpack versioning
What are the three token layers and who references which?	Primitives are raw values and are referenced only by the token package. Semantic tokens express intent and are the only layer product code and components may use. Component tokens let one component be retuned without touching the semantic layer.	frontend design-systems design-system platform migration
Why ship tokens as CSS custom properties rather than only a JS object?	Because a component reading `var(--color-semantic-action-primary)` picks up a token change from a stylesheet update even if it was bundled months ago by another team. Tokens leave the JS dependency graph, so version skew stops being visible.	frontend design-systems design-system platform migration
Why is changing a default prop value a major version?	Nothing fails to compile, so behaviour changes silently across every call site at once. Type-visible breaks announce themselves; silent default changes are found by users.	frontend design-systems design-system platform migration
Who owns the migration for a design-system breaking change?	The team that made the change. That means writing the codemod and opening pull requests against every consuming repository -- not publishing a migration guide and a Slack message.	frontend design-systems design-system platform migration
What does `axe-core` catch and what does it miss?	It catches contrast failures, missing accessible names, invalid ARIA and bad roles -- roughly a third of WCAG criteria. It misses focus order, whether announcements make sense, custom widget semantics, and focus return on modal close.	frontend design-systems design-system platform migration
Which governance model is the usual steady state, and what does it require?	Federated: product engineers contribute, the platform team owns review, API standards and release. It requires a scaffold command, a written API checklist, and a real review-time commitment, or teams fork.	frontend design-systems design-system platform migration
Two adoption metrics worth a dashboard?	Component adoption rate -- library instances over all rendered interactive elements from a static scan -- and local reimplementation rate. A rising reimplementation rate means your path costs more than going around you.	frontend design-systems design-system platform migration
When should a design system say no to a component?	When there is one consumer and no visible second use case. That is a product component; promote it to the library when a second team needs it.	frontend design-systems design-system platform migration
What belongs on the non-visual paved road?	Auth with token refresh, generated API clients, one telemetry SDK, shared build and deploy pipelines, a typed feature-flag client, and migration tooling: codemods, usage scanners and bot-authored upgrade pull requests.	frontend design-systems design-system platform migration
When is SSE the better choice than WebSocket?	When traffic is one-way server-to-client and text: notifications, live logs, LLM token streams. You get automatic reconnection with `Last-Event-ID` replay for free, provided you have HTTP/2 end to end.	frontend realtime-frontend WebSocket SSE realtime presence
Why does SSE need HTTP/2?	On HTTP/1.1 browsers allow six connections per origin and each SSE stream holds one for its lifetime, so a few tabs starve your normal API calls. HTTP/2 multiplexes streams on one connection, raising the practical limit to around 100.	frontend realtime-frontend WebSocket SSE realtime presence
What is full jitter and why not fixed-delay-plus-random?	Full jitter picks a uniform random delay in [0, min(cap, base × 2^n)). Adding a small random offset to a fixed delay leaves the fleet clumped, so each retry wave still arrives together and re-saturates the service.	frontend realtime-frontend WebSocket SSE realtime presence
What is a resume token for?	So a reconnecting client can say `since=lastSeq` and receive only the gap. Without it every reconnect costs a full snapshot, and a mass reconnect after a gateway restart becomes a bigger outage than the restart.	frontend realtime-frontend WebSocket SSE realtime presence
Why prefer facts over deltas in realtime messages?	Delivery is at-least-once, so replays happen. Applying `unread = 3, version 118` twice is a no-op; applying `increment unread` twice permanently corrupts state with no path back to correct.	frontend realtime-frontend WebSocket SSE realtime presence
Why must presence be lease-based?	Browsers do not reliably announce departure -- no `beforeunload` on a crash, force-quit or OS tab discard. So online means "renewed a TTL recently"; expire after 2-3 missed heartbeats or you accumulate ghosts forever.	frontend realtime-frontend WebSocket SSE realtime presence
Both directions of WebSocket backpressure?	Server side: cap the per-connection send queue and disconnect with a resync code, or slow clients OOM the gateway. Client side: check `ws.bufferedAmount`, coalesce to one message per frame, and drop stale intermediate states.	frontend realtime-frontend WebSocket SSE realtime presence
How do you authenticate a WebSocket without headers?	Mint a single-use ticket valid for about 30 seconds over authenticated HTTP and exchange it at handshake, so the credential in the URL and access logs is nearly worthless. Then renew over the connection with an `auth.renew` message.	frontend realtime-frontend WebSocket SSE realtime presence
Why do connections drop exactly every 60 seconds?	A default idle timeout -- AWS ALB and nginx `proxy_read_timeout` are both 60 s. Heartbeat inside the window *and* raise the timeout; a cluster of close code 1006 is the diagnostic signal.	frontend realtime-frontend WebSocket SSE realtime presence
What is the outbox pattern?	Apply the mutation to the local store and append an intent record to an outbox queue in one atomic transaction, then have a background loop drain the queue to the server with retries, backoff and error classification.	frontend offline-and-sync offline IndexedDB outbox sync
Why must the local write and outbox append share a transaction?	Otherwise a crash between them leaves the UI showing a change that will never be sent -- silent data loss that is effectively unreproducible in development.	frontend offline-and-sync offline IndexedDB outbox sync
Why generate entity ids on the client?	Creates become idempotent by construction, the local record never needs its id rewritten, and records created offline can already reference their parents without temporary ids and a rewrite pass.	frontend offline-and-sync offline IndexedDB outbox sync
What exact failure does `Idempotency-Key` protect against?	The server committing the mutation and the response being lost. The client cannot distinguish that from a request that never arrived, so it retries; the key lets the server replay the stored result instead of re-executing.	frontend offline-and-sync offline IndexedDB outbox sync
Why never detect conflicts with client timestamps?	Client clocks are routinely minutes off and can be set deliberately, so timestamp-based last-write-wins hands the race to whoever has the most skewed clock. Use server-assigned versions with `If-Match`.	frontend offline-and-sync offline IndexedDB outbox sync
When should a conflict be shown to the user?	Only when both sides changed the same field of content the user authored. Different fields should merge, and prompting on every version mismatch just trains people to dismiss the dialog.	frontend offline-and-sync offline IndexedDB outbox sync
